title,authors,journal,year,pdf_url,pdf_week_code,page_number,entry_index_in_pdf,ingested_at
® A daily diary study of the relation between stress and nonsuicidal self-injury and the moderating role of emotion dysregulation in emerging adulthood,"Kuburi S, Ewing L, Hamza CA, Goldstein AL",J. Youth Adolesc.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,1,1,2025-09-18T00:41:44.797543
® Adolescent alcohol and cannabis use and early adulthood educational attainment in the 1986 Northern Finland birth cohort study,"Levola J, Alakokkare AE, Denissoff A, Mustonen A, Miettunen J, Niemela S",BMC Public Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,2,2,2025-09-18T00:41:44.797543
"® Case conceptualization in child welfare: an underused resource to improve child, family, and provider outcomes","McTavish JR, McHolm A, Niec A, Pietrantonio AM, McKee C, MacMillan HL",Front. Psychiatry,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,3,3,2025-09-18T00:41:44.797543
"® Conceptualisation of violence and discipline among students, teachers, and parents in Nyarugusu Refugee Camp, Tanzania - Barongo V, Kiwale Z, Shayo E, Fabbri C, Turner E, Bakari M, Mubyazi G, Rodrigues K, Devries K. Child Abuse Negl. 2024; 149: e106555. Confirming eight-factor structure of the substance use motives measure in a sample of US college students","Strong SJ, Charles NE, Bullerjahn MR, Tennity C, O'Dell C, Cordova E",Psychol. Rep.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,4,4,2025-09-18T00:41:44.797543
® Effectiveness of community-based programs on aggressive behavior among children and adolescents: a systematic review and meta-analysis,"Jiang S, Chen Y, Wang L",Trauma Violence Abuse,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,5,5,2025-09-18T00:41:44.798543
® Examining enduring effects of COVID-19 on college students' internalizing and externalizing problems: a four-year longitudinal analysis,"Brown JK, Barringer A, Kouros CD, Papp LM",J. Affect. Disord.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,6,6,2025-09-18T00:41:44.798543
® Gendered responses to fear of victimization? A comparative study of students' precautionary and avoidance strategies in suburban and urban contexts,Jacobsen SK,Violence Against Women,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,7,7,2025-09-18T00:41:44.798543
® Inappropriate pediatric orthopaedic emergency department transfers: a burden on the health care system,"Cao LA, Hull B, Elliott M, Orellana KJ, Schell B, Riccio AI",J. Pediatr. Orthop.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,8,8,2025-09-18T00:41:44.798543
® Medical child abuse - a guideline to detecting this particular form of child maltreatment,"Semrau GM, Härlin R, Di Maria C, Schwartländer B, Winter SM",Prax. Kinderpsychol. Kinderpsychiatr.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,9,9,2025-09-18T00:41:44.798543
® Positive childhood experiences serve as protective factors for mental health in pandemic-era youth with adverse childhood experiences,"Samji H, Long D, Herring J, Correia R, Maloney J",Child Abuse Negl.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,10,10,2025-09-18T00:41:44.798543
® Risk factors and trends in adolescent's suicide attempt rates before and after the coronavirus disease 2019 pandemic,"Jung SI, Lee SY, Kim DJ, Yang CM",J. Korean Med. Sci.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,11,11,2025-09-18T00:41:44.798543
® Socioeconomic disparities based on shooting intent in pediatric firearm injury,"Cain CM, Oluyomi AO, Levine N, Pompeii L, Rosales O, Naik-Mathuria B",J. Trauma Acute Care Surg.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,12,12,2025-09-18T00:41:44.798543
® The effect of parental regulatory focus on the loneliness stigma of college children,"Fan Z, Shi X, Zhang W, Zhang B",BMC Public Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,13,13,2025-09-18T00:41:44.798543
® What interventions are cost effective in reducing violence against women? A scoping review,"Sheppard L, Alsubhi M, Brown V, Le H, Robinson K, Moodie M",Appl. Health Econ. Health Policy,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,14,14,2025-09-18T00:41:44.798543
"® Cultural capital, the digital divide, and the health of older adults: a moderated mediation effect test","Cui Y, He Y, Xu X, Zhou L, Nutakor JA, Zhao L",BMC Public Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,15,15,2025-09-18T00:41:44.798543
® Novel attentional gait index reveals a cognitive ability-related decline in gait automaticity during dual-task walking,"Liu S, Rosso AL, Baillargeon EM, Weinstein AM, Rosano C, Torres-Oviedo G",Front. Aging Neurosci.,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,16,16,2025-09-18T00:41:44.798543
® The primary care NP's guide to prevention and management of falls in older adults,Mark JA,Nurse Pract.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,17,17,2025-09-18T00:41:44.798543
